名称,所在地,緯度,経度,電話
旭丘小学校,練馬区旭丘2-21-1,35.73669464,139.6768029,03-3957-2151
小竹小学校,練馬区小竹町2-6-7,35.7440981,139.6798355,03-3956-8391
開進第四小学校,練馬区羽沢2-33-1,35.74781734,139.6712784,03-3993-6153
豊玉第二小学校,練馬区豊玉上2-16-1,35.73742126,139.6616903,03-3993-0421
豊玉小学校,練馬区豊玉中4-2-20,35.73294284,139.6522172,03-3993-4286
豊玉南小学校,練馬区豊玉南2-14-1,35.72767887,139.6560252,03-3993-6425
豊玉東小学校,練馬区豊玉北1-16-1,35.73273377,139.6679676,03-3993-4217
中村小学校,練馬区中村2-8-1,35.73143017,139.643675,03-3990-4241
中村西小学校,練馬区中村北4-17-1,35.73421391,139.634829,03-3990-4237
開進第三小学校,練馬区桜台2-18-1,35.74288071,139.6666245,03-3993-4263
開進第二小学校,練馬区桜台5-10-5,35.74197859,139.6581551,03-3993-2425
南町小学校,練馬区練馬2-7-5,35.74089413,139.6527707,03-3993-2438
向山小学校,練馬区向山2-14-11,35.74039886,139.6405327,03-3999-9145
練馬第三小学校,練馬区貫井1-36-15,35.73729053,139.6354345,03-3970-5641
練馬第二小学校,練馬区貫井2-31-13,35.74141098,139.6336661,03-3990-4247
仲町小学校,練馬区氷川台2-18-24,35.75792902,139.6676761,03-3932-5360
早宮小学校,練馬区早宮4-10-17,35.75209195,139.651002,03-3993-5165
開進第一小学校,練馬区早宮2-1-31,35.75461393,139.6574017,03-3932-3170
練馬東小学校,練馬区春日町1-30-11,35.75219899,139.6473268,03-3990-9142
春日小学校,練馬区春日町5-12-1,35.7467741,139.6395234,03-3926-7102
練馬小学校,練馬区春日町6-11-36,35.75245959,139.6359081,03-3990-4244
高松小学校,練馬区高松3-16-1,35.749728,139.6266663,03-3999-3376
光が丘四季の香小学校,練馬区高松5-24-1,35.7615858,139.6242042,03-3977-2711
北町小学校,練馬区北町1-14-11,35.76484648,139.6639688,03-3932-3296
北町西小学校,練馬区北町7-3-8,35.76161175,139.653518,03-3932-7234
田柄小学校,練馬区田柄2-19-19,35.76591317,139.6438079,03-3939-0351
田柄第二小学校,練馬区田柄1-5-27,35.75894613,139.6423281,03-3938-8826
光が丘第八小学校,練馬区光が丘1-4-1,35.76850429,139.6370008,03-5997-4828
光が丘秋の陽小学校,練馬区光が丘2-1-1,35.76187602,139.6351062,03-3976-6331
光が丘夏の雲小学校,練馬区光が丘3-6-1,35.75736383,139.6309429,03-5998-0501
光が丘春の風小学校,練馬区光が丘7-2-1,35.75560109,139.6257307,03-3976-5861
旭町小学校,練馬区旭町2-29-1,35.77262505,139.6274223,03-3939-0362
豊溪小学校,練馬区土支田2-26-28,35.76304441,139.6152352,03-3925-2444
八坂小学校,練馬区土支田4-48-1,35.76875646,139.6111826,03-3922-7625
富士見台小学校,練馬区富士見台4-16-10,35.74484426,139.6229813,03-3998-6351
南が丘小学校,練馬区南田中2-13-1,35.73380199,139.6169989,03-3904-1282
石神井東小学校,練馬区南田中3-9-1,35.73746854,139.6195164,03-3997-3312
南田中小学校,練馬区南田中5-15-37,35.73706564,139.6111617,03-3997-1145
谷原小学校,練馬区谷原2-9-26,35.75085036,139.6139348,03-3997-3271
北原小学校,練馬区谷原4-9-1,35.75457806,139.6135632,03-3904-5172
泉新小学校,練馬区三原台3-18-30,35.75425975,139.6012096,03-3925-4343
光和小学校,練馬区石神井町2-16-34,35.74644086,139.6070466,03-3997-3261
石神井小学校,練馬区石神井台1-1-25,35.73543505,139.5988481,03-3997-3277
上石神井北小学校,練馬区石神井台5-1-32,35.7358474,139.5882954,03-3920-1011
石神井台小学校,練馬区石神井台8-6-33,35.73517186,139.5809427,03-3928-7124
下石神井小学校,練馬区下石神井2-20-18,35.73165025,139.6053281,03-3997-5241
大泉東小学校,練馬区東大泉1-22-1,35.74890987,139.5907693,03-3922-1355
大泉小学校,練馬区東大泉4-25-1,35.75205413,139.584309,03-3924-0144
大泉南小学校,練馬区東大泉6-28-1,35.74482598,139.5809069,03-3922-1371
大泉第四小学校,練馬区西大泉1-24-1,35.75537627,139.5735294,03-3925-2478
大泉西小学校,練馬区西大泉4-25-1,35.76524024,139.5716003,03-3925-5832
大泉第二小学校,練馬区南大泉4-29-11,35.74437381,139.5728874,03-3924-2127
大泉第六小学校,練馬区南大泉5-25-29,35.75120955,139.5710312,03-3925-2471
橋戸小学校,練馬区大泉町2-11-25,35.75871034,139.6020733,03-3925-8620
大泉第一小学校,練馬区大泉町3-16-23,35.76556414,139.5986127,03-3925-2455
大泉北小学校,練馬区大泉町4-28-22,35.76216554,139.5955684,03-3925-5912
大泉第三小学校,練馬区大泉学園町3-22-1,35.76338205,139.5796594,03-3925-2466
大泉学園小学校,練馬区大泉学園町4-7-1,35.76566374,139.593178,03-3923-0006
大泉学園緑小学校,練馬区大泉学園町5-11-47,35.76625928,139.5852395,03-3925-7233
大泉学園桜小学校,練馬区大泉学園町9-2-2,35.77735311,139.5916307,03-3924-1126
石神井西小学校,練馬区関町北1-1-5,35.72390577,139.5799725,03-3920-0382
関町小学校,練馬区関町北3-23-34,35.7250107,139.5719381,03-3929-1290
関町北小学校,練馬区関町北5-13-40,35.73212204,139.573503,03-3920-1027
立野小学校,練馬区立野町17-13,35.71817948,139.5806019,03-3920-9101
上石神井小学校,練馬区上石神井4-10-9,35.72809095,139.5891117,03-3920-0805
